summary_scope,benchmark_group,metric_name,our_value,n_total,n_computable,n_not_computable,comparator_name,comparator_value,comparator_direction,beats_comparator,delta,unit,notes
global,A_validity,parse_validity_rate,1.0,22,22,0,,,,,,,
global,A_validity,composition_match_rate,1.0,22,22,0,,,,,,,
global,A_validity,pre_dft_validity_rate,0.8636363636363636,22,22,0,,,,,,,
global,A_validity,geometry_ok_rate,1.0,22,22,0,,,,,,,
global,A_validity,bond_reasonable_rate,0.8636363636363636,22,22,0,,,,,,,
global,A_validity,bad_contact_rate,0.13636363636363635,22,22,0,,,,,,,
global,A_validity,median_min_distance,1.9918584287042087,22,17,5,,,,,,,
global,A_validity,median_bad_contacts,0.0,22,22,0,,,,,,,
global,A_validity,hard_fail_count,3.0,22,22,0,,,,,,,
global,B_structure_reproduction,structure_match_rate,0.09090909090909091,22,22,0,,,,,,,
global,B_structure_reproduction,match_rate,0.09090909090909091,22,22,0,,,,,,,
global,B_structure_reproduction,anonymous_match_rate,0.09090909090909091,22,22,0,,,,,,,
global,B_structure_reproduction,supercell_match_rate,0.0,22,22,0,,,,,,,
global,B_structure_reproduction,mean_rms_dist,0.0,22,1,21,,,,,,,
global,B_structure_reproduction,median_rms_dist,0.0,22,1,21,,,,,,,
global,B_structure_reproduction,best_rms_dist,0.0,22,1,21,,,,,,,
global,B_structure_reproduction,mean_max_dist,0.0,22,1,21,,,,,,,
global,B_structure_reproduction,structure_rmse,0.0,22,1,21,,,,,,,
global,B_structure_reproduction,structure_rmse_relaxed,0.05743700423680957,22,4,18,,,,,,,
global,B_structure_reproduction,match_rate_n1,0.09090909090909091,22,22,0,,,,,,,
global,B_structure_reproduction,match_rate_nk,0.09090909090909091,22,22,0,,,,,,,
global,C_mlip_stability,chgnet_ok_rate,1.0,22,22,0,,,,,,,
global,C_mlip_stability,m3gnet_ok_rate,1.0,22,22,0,,,,,,,
global,C_mlip_stability,mace_ok_rate,1.0,22,22,0,,,,,,,
global,C_mlip_stability,sevennet_ok_rate,1.0,22,22,0,,,,,,,
global,C_mlip_stability,mlip_ensemble_ok_rate,1.0,22,22,0,,,,,,,
global,C_mlip_stability,mlip_consensus_stable_rate,0.18181818181818182,22,22,0,,,,,,,
global,C_mlip_stability,mlip_disagreement_rate,0.8181818181818182,22,22,0,,,,,,,
global,C_mlip_stability,median_mlip_mean_energy,-2.988885998725891,22,22,0,,,,,,,
global,C_mlip_stability,median_mlip_energy_std,1.2731933335368386,22,22,0,,,,,,,
global,C_mlip_stability,median_mlip_max_force,2.6765640032235116,22,22,0,,,,,,,
global,C_mlip_stability,predicted_ehull_rate_0_00,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
global,C_mlip_stability,predicted_ehull_rate_0_05,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
global,C_mlip_stability,predicted_ehull_rate_0_10,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
global,C_mlip_stability,predicted_ehull_rate_0_15,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
global,C_mlip_stability,predicted_metastable_rate_ehull_0_15,,22,0,22,,,,,,,missing required columns: predicted_energy_above_hull
global,C_mlip_stability,metastability_threshold,0.15,22,22,0,,,,,,eV/atom,
global,D_relaxation,relax_success_rate,0.6818181818181818,22,22,0,,,,,,,
global,D_relaxation,median_energy_drop_per_atom,0.7585931777954101,22,22,0,,,,,,,
global,D_relaxation,median_max_force_before,1.963085286062248,22,22,0,,,,,,,
global,D_relaxation,median_max_force_after,0.0626224384718283,22,22,0,,,,,,,
global,D_relaxation,force_threshold_success_rate_0_20,0.8181818181818182,22,22,0,,,,,,,
global,D_relaxation,force_threshold_success_rate_0_10,0.6818181818181818,22,22,0,,,,,,,
global,D_relaxation,rmse_improvement_rate,0.0,22,1,21,,,,,,,
global,D_relaxation,median_rmse_before,0.0,22,1,21,,,,,,,
global,D_relaxation,median_rmse_after,0.0252609685194734,22,4,18,,,,,,,
global,D_relaxation,median_rmse_delta,-9.991955972347017e-09,22,1,21,,,,,,,
global,D_relaxation,rmse_improvement_after_relaxation,-9.991955972347017e-09,22,1,21,,,,,,,
global,D_relaxation,relaxed_rmse,0.05743700423680957,22,4,18,,,,,,,
global,D_relaxation,structure_preservation_rate,0.22727272727272727,22,22,0,,,,,,,
